"x","y","year","env1","env2"
9,580,0,-1.35779532259952,-1.15139120598523
10,580,0,-1.36371899743016,-1.14812527297176
11,580,0,-1.36964267226079,-1.14485933995828
12,580,0,-1.37556634709142,-1.14159340694481
13,580,0,-1.38149002192206,-1.13832747393133
14,580,0,-1.38741369675269,-1.13506154091786
15,580,0,-1.39333737158332,-1.13179560790439
16,580,0,-1.39926104641396,-1.12852967489091
17,580,0,-1.40104186534361,-1.12708646903911
18,580,0,-1.39971174852348,-1.12701197772261
19,580,0,-1.39838163170335,-1.12693748640611
20,580,0,-1.39705151488321,-1.12686299508962
21,580,0,-1.39572139806308,-1.12678850377312
22,580,0,-1.39439128124295,-1.12671401245662
23,580,0,-1.39306116442282,-1.12663952114012
24,580,0,-1.39173104760268,-1.12656502982363
25,580,0,-1.39040093078255,-1.12649053850713
26,580,0,-1.38907081396242,-1.12641604719063
0,579,0,-1.34609784077077,-1.15756631550289
1,579,0,-1.34466338719851,-1.15800449971758
2,579,0,-1.34322893362624,-1.15844268393227
3,579,0,-1.34179448005397,-1.15888086814695
4,579,0,-1.3403600264817,-1.15931905236164
5,579,0,-1.33892557290943,-1.15975723657633
6,579,0,-1.33749111933717,-1.16019542079102
7,579,0,-1.3406177920252,-1.15833981147918
8,579,0,-1.34662435672058,-1.15503590250043
9,579,0,-1.35263092141595,-1.15173199352169
10,579,0,-1.35863748611134,-1.14842808454294
11,579,0,-1.36464405080671,-1.14512417556419
12,579,0,-1.37065061550209,-1.14182026658545
13,579,0,-1.37665718019747,-1.13851635760669
14,579,0,-1.38266374489285,-1.13521244862795
15,579,0,-1.38867030958822,-1.1319085396492
16,579,0,-1.39467687428361,-1.12860463067045
17,579,0,-1.39637694778048,-1.12720520046063
18,579,0,-1.39484320920525,-1.12723587335565
19,579,0,-1.39330947063001,-1.12726654625068
20,579,0,-1.39177573205477,-1.12729721914571
21,579,0,-1.39024199347954,-1.12732789204074
22,579,0,-1.3887082549043,-1.12735856493577
23,579,0,-1.38717451632907,-1.12738923783079
24,579,0,-1.38564077775383,-1.12741991072582
25,579,0,-1.3841070391786,-1.12745058362085
26,579,0,-1.38257330060336,-1.12748125651588
0,578,0,-1.34023157569565,-1.15842696552501
1,578,0,-1.33922935921073,-1.15864313640426
2,578,0,-1.33822714272582,-1.1588593072835
3,578,0,-1.33722492624091,-1.15907547816275
4,578,0,-1.33622270975599,-1.15929164904199
5,578,0,-1.33522049327108,-1.15950781992124
6,578,0,-1.33421827678617,-1.15972399080049
7,578,0,-1.33735102958111,-1.15785049966142
8,578,0,-1.34309459915684,-1.1546575973504
9,578,0,-1.34883816873257,-1.15146469503937
10,578,0,-1.3545817383083,-1.14827179272834
11,578,0,-1.36032530788403,-1.14507889041732
12,578,0,-1.36606887745976,-1.14188598810629
13,578,0,-1.37181244703549,-1.13869308579526
14,578,0,-1.37755601661122,-1.13550018348424
15,578,0,-1.38329958618695,-1.13230728117321
16,578,0,-1.38904315576268,-1.12911437886218
17,578,0,-1.39062209391897,-1.12779425571727
18,578,0,-1.38907374474566,-1.12788043194616
19,578,0,-1.38752539557235,-1.12796660817504
20,578,0,-1.38597704639905,-1.12805278440393
21,578,0,-1.38442869722574,-1.12813896063282
22,578,0,-1.38288034805243,-1.12822513686171
23,578,0,-1.38133199887912,-1.1283113130906
24,578,0,-1.37978364970582,-1.12839748931949
25,578,0,-1.37823530053251,-1.12848366554838
26,578,0,-1.3766869513592,-1.12856984177726
0,577,0,-1.33436531062052,-1.15928761554713
1,577,0,-1.33379533122296,-1.15928177309093
2,577,0,-1.3332253518254,-1.15927593063474
3,577,0,-1.33265537242785,-1.15927008817854
4,577,0,-1.33208539303028,-1.15926424572235
5,577,0,-1.33151541363273,-1.15925840326615
6,577,0,-1.33094543423517,-1.15925256080996
7,577,0,-1.33408426713702,-1.15736118784367
8,577,0,-1.3395648415931,-1.15427929220036
9,577,0,-1.34504541604918,-1.15119739655706
10,577,0,-1.35052599050527,-1.14811550091375
11,577,0,-1.35600656496135,-1.14503360527044
12,577,0,-1.36148713941743,-1.14195170962714
13,577,0,-1.36696771387352,-1.13886981398383
14,577,0,-1.3724482883296,-1.13578791834053
15,577,0,-1.37792886278567,-1.13270602269722
16,577,0,-1.38340943724176,-1.12962412705391
17,577,0,-1.38486724005746,-1.12838331097391
18,577,0,-1.38330428028608,-1.12852499053666
19,577,0,-1.3817413205147,-1.12866667009941
20,577,0,-1.38017836074332,-1.12880834966215
21,577,0,-1.37861540097194,-1.1289500292249
22,577,0,-1.37705244120056,-1.12909170878765
23,577,0,-1.37548948142918,-1.1292333883504
24,577,0,-1.3739265216578,-1.12937506791315
25,577,0,-1.37236356188642,-1.1295167474759
26,577,0,-1.37080060211504,-1.12965842703865
0,576,0,-1.3284990455454,-1.16014826556925
1,576,0,-1.32836130323519,-1.15992040977761
2,576,0,-1.32822356092499,-1.15969255398598
3,576,0,-1.32808581861478,-1.15946469819434
4,576,0,-1.32794807630458,-1.1592368424027
5,576,0,-1.32781033399437,-1.15900898661106
6,576,0,-1.32767259168416,-1.15878113081943
7,576,0,-1.33081750469293,-1.15687187602591
8,576,0,-1.33603508402936,-1.15390098705032
9,576,0,-1.3412526633658,-1.15093009807474
10,576,0,-1.34647024270224,-1.14795920909915
11,576,0,-1.35168782203867,-1.14498832012357
12,576,0,-1.3569054013751,-1.14201743114799
13,576,0,-1.36212298071154,-1.1390465421724
14,576,0,-1.36734056004797,-1.13607565319682
15,576,0,-1.3725581393844,-1.13310476422123
16,576,0,-1.37777571872084,-1.13013387524565
17,576,0,-1.37911238619595,-1.12897236623055
18,576,0,-1.37753481582649,-1.12916954912716
19,576,0,-1.37595724545704,-1.12936673202377
20,576,0,-1.37437967508759,-1.12956391492038
21,576,0,-1.37280210471814,-1.12976109781699
22,576,0,-1.37122453434869,-1.1299582807136
23,576,0,-1.36964696397924,-1.13015546361021
24,576,0,-1.36806939360979,-1.13035264650681
25,576,0,-1.36649182324033,-1.13054982940342
26,576,0,-1.36491425287088,-1.13074701230003
0,575,0,-1.32263278047027,-1.16100891559137
1,575,0,-1.32292727524742,-1.16055904646429
2,575,0,-1.32322177002457,-1.16010917733721
3,575,0,-1.32351626480172,-1.15965930821013
4,575,0,-1.32381075957887,-1.15920943908305
5,575,0,-1.32410525435602,-1.15875956995597
6,575,0,-1.32439974913317,-1.1583097008289
7,575,0,-1.32755074224885,-1.15638256420815
8,575,0,-1.33250532646563,-1.15352268190029
9,575,0,-1.33745991068241,-1.15066279959243
10,575,0,-1.3424144948992,-1.14780291728456
11,575,0,-1.34736907911599,-1.1449430349767
12,575,0,-1.35232366333277,-1.14208315266884
13,575,0,-1.35727824754956,-1.13922327036097
14,575,0,-1.36223283176634,-1.13636338805311
15,575,0,-1.36718741598313,-1.13350350574524
16,575,0,-1.37214200019992,-1.13064362343738
17,575,0,-1.37335753233444,-1.12956142148719
18,575,0,-1.37176535136691,-1.12981410771766
19,575,0,-1.37017317039939,-1.13006679394813
20,575,0,-1.36858098943187,-1.1303194801786
21,575,0,-1.36698880846434,-1.13057216640907
22,575,0,-1.36539662749682,-1.13082485263954
23,575,0,-1.3638044465293,-1.13107753887001
24,575,0,-1.36221226556177,-1.13133022510048
25,575,0,-1.36062008459425,-1.13158291133095
26,575,0,-1.35902790362673,-1.13183559756142
0,574,0,-1.31676651539515,-1.16186956561349
1,574,0,-1.31749324725965,-1.16119768315097
2,574,0,-1.31821997912415,-1.16052580068845
3,574,0,-1.31894671098866,-1.15985391822593
4,574,0,-1.31967344285316,-1.15918203576341
5,574,0,-1.32040017471766,-1.15851015330089
6,574,0,-1.32112690658216,-1.15783827083836
7,574,0,-1.32428397980475,-1.15589325239039
8,574,0,-1.32897556890189,-1.15314437675025
9,574,0,-1.33366715799902,-1.15039550111011
10,574,0,-1.33835874709617,-1.14764662546996
11,574,0,-1.3430503361933,-1.14489774982982
12,574,0,-1.34774192529044,-1.14214887418968
13,574,0,-1.35243351438758,-1.13939999854954
14,574,0,-1.35712510348471,-1.1366511229094
15,574,0,-1.36181669258185,-1.13390224726926
16,574,0,-1.36650828167899,-1.13115337162911
17,574,0,-1.36760267847292,-1.13015047674383
18,574,0,-1.36599588690733,-1.13045866630816
19,574,0,-1.36438909534173,-1.13076685587249
20,574,0,-1.36278230377614,-1.13107504543682
21,574,0,-1.36117551221054,-1.13138323500115
22,574,0,-1.35956872064495,-1.13169142456548
23,574,0,-1.35796192907935,-1.13199961412981
24,574,0,-1.35635513751376,-1.13230780369414
25,574,0,-1.35474834594816,-1.13261599325847
26,574,0,-1.35314155438257,-1.1329241828228
0,573,0,-1.31090025032003,-1.16273021563561
1,573,0,-1.31205921927188,-1.16183631983765
2,573,0,-1.31321818822374,-1.16094242403969
3,573,0,-1.3143771571756,-1.16004852824172
4,573,0,-1.31553612612745,-1.15915463244376
5,573,0,-1.31669509507931,-1.1582607366458
6,573,0,-1.31785406403116,-1.15736684084783
7,573,0,-1.32101721736067,-1.15540394057264
8,573,0,-1.32544581133815,-1.15276607160022
9,573,0,-1.32987440531564,-1.1501282026278
10,573,0,-1.33430299929313,-1.14749033365537
11,573,0,-1.33873159327062,-1.14485246468295
12,573,0,-1.34316018724811,-1.14221459571053
13,573,0,-1.3475887812256,-1.13957672673811
14,573,0,-1.35201737520309,-1.13693885776569
15,573,0,-1.35644596918058,-1.13430098879327
16,573,0,-1.36087456315807,-1.13166311982084
17,573,0,-1.36184782461141,-1.13073953200047
18,573,0,-1.36022642244775,-1.13110322489866
19,573,0,-1.35860502028408,-1.13146691779685
20,573,0,-1.35698361812041,-1.13183061069504
21,573,0,-1.35536221595675,-1.13219430359323
22,573,0,-1.35374081379308,-1.13255799649142
23,573,0,-1.35211941162941,-1.13292168938962
24,573,0,-1.35049800946574,-1.13328538228781
25,573,0,-1.34887660730208,-1.133649075186
26,573,0,-1.34725520513841,-1.13401276808419
0,572,0,-1.3050339852449,-1.16359086565773
1,572,0,-1.30662519128411,-1.16247495652433
2,572,0,-1.30821639732332,-1.16135904739092
3,572,0,-1.30980760336253,-1.16024313825752
4,572,0,-1.31139880940174,-1.15912722912411
5,572,0,-1.31299001544095,-1.15801131999071
6,572,0,-1.31458122148016,-1.1568954108573
7,572,0,-1.31775045491657,-1.15491462875488
8,572,0,-1.32191605377441,-1.15238776645018
9,572,0,-1.32608165263225,-1.14986090414548
10,572,0,-1.3302472514901,-1.14733404184078
11,572,0,-1.33441285034794,-1.14480717953608
12,572,0,-1.33857844920578,-1.14228031723138
13,572,0,-1.34274404806362,-1.13975345492667
14,572,0,-1.34690964692146,-1.13722659262198
15,572,0,-1.3510752457793,-1.13469973031728
16,572,0,-1.35524084463715,-1.13217286801257
17,572,0,-1.3560929707499,-1.13132858725711
18,572,0,-1.35445695798816,-1.13174778348916
19,572,0,-1.35282094522642,-1.13216697972121
20,572,0,-1.35118493246468,-1.13258617595327
21,572,0,-1.34954891970294,-1.13300537218532
22,572,0,-1.3479129069412,-1.13342456841737
23,572,0,-1.34627689417947,-1.13384376464942
24,572,0,-1.34464088141773,-1.13426296088147
25,572,0,-1.34300486865599,-1.13468215711352
26,572,0,-1.34136885589425,-1.13510135334557
0,571,0,-1.29916772016978,-1.16445151567985
1,571,0,-1.30119116329634,-1.16311359321101
2,571,0,-1.30321460642291,-1.16177567074216
3,571,0,-1.30523804954947,-1.16043774827331
4,571,0,-1.30726149267604,-1.15909982580446
5,571,0,-1.3092849358026,-1.15776190333562
6,571,0,-1.31130837892916,-1.15642398086677
7,571,0,-1.31448369247249,-1.15442531693712
8,571,0,-1.31838629621068,-1.15200946130014
9,571,0,-1.32228889994887,-1.14959360566316
10,571,0,-1.32619150368707,-1.14717775002618
11,571,0,-1.33009410742526,-1.1447618943892
12,571,0,-1.33399671116345,-1.14234603875223
13,571,0,-1.33789931490165,-1.13993018311524
14,571,0,-1.34180191863984,-1.13751432747826
15,571,0,-1.34570452237803,-1.13509847184129
16,571,0,-1.34960712611623,-1.1326826162043
17,571,0,-1.35033811688839,-1.13191764251375
18,571,0,-1.34868749352858,-1.13239234207966
19,571,0,-1.34703687016877,-1.13286704164557
20,571,0,-1.34538624680896,-1.13334174121149
21,571,0,-1.34373562344915,-1.1338164407774
22,571,0,-1.34208500008934,-1.13429114034331
23,571,0,-1.34043437672952,-1.13476583990922
24,571,0,-1.33878375336971,-1.13524053947513
25,571,0,-1.3371331300099,-1.13571523904105
26,571,0,-1.33548250665009,-1.13618993860696
0,570,0,-1.29330145509465,-1.16531216570197
1,570,0,-1.29575713530857,-1.16375222989769
2,570,0,-1.29821281552249,-1.1621922940934
3,570,0,-1.30066849573641,-1.16063235828911
4,570,0,-1.30312417595033,-1.15907242248482
5,570,0,-1.30557985616425,-1.15751248668053
6,570,0,-1.30803553637816,-1.15595255087624
7,570,0,-1.31121693002839,-1.15393600511936
8,570,0,-1.31485653864694,-1.15163115615011
9,570,0,-1.31849614726548,-1.14932630718085
10,570,0,-1.32213575588403,-1.14702145821159
11,570,0,-1.32577536450257,-1.14471660924233
12,570,0,-1.32941497312112,-1.14241176027307
13,570,0,-1.33305458173966,-1.14010691130381
14,570,0,-1.33669419035821,-1.13780206233455
15,570,0,-1.34033379897675,-1.1354972133653
16,570,0,-1.3439734075953,-1.13319236439604
17,570,0,-1.34458326302688,-1.13250669777039
18,570,0,-1.342918029069,-1.13303690067016
19,570,0,-1.34125279511111,-1.13356710356994
20,570,0,-1.33958756115323,-1.13409730646971
21,570,0,-1.33792232719535,-1.13462750936948
22,570,0,-1.33625709323746,-1.13515771226926
23,570,0,-1.33459185927958,-1.13568791516903
24,570,0,-1.3329266253217,-1.1362181180688
25,570,0,-1.33126139136381,-1.13674832096857
26,570,0,-1.32959615740593,-1.13727852386834
0,569,0,-1.28942848036946,-1.16513050870491
1,569,0,-1.29209851617533,-1.16347271175934
2,569,0,-1.2947685519812,-1.16181491481377
3,569,0,-1.29743858778707,-1.16015711786821
4,569,0,-1.30010862359294,-1.15849932092263
5,569,0,-1.30277865939881,-1.15684152397707
6,569,0,-1.30544869520468,-1.1551837270315
7,569,0,-1.30854015718133,-1.15321257031454
8,569,0,-1.31189770735454,-1.15104355845184
9,569,0,-1.31525525752774,-1.14887454658913
10,569,0,-1.31861280770096,-1.14670553472643
11,569,0,-1.32197035787416,-1.14453652286372
12,569,0,-1.32532790804737,-1.14236751100102
13,569,0,-1.32868545822058,-1.14019849913831
14,569,0,-1.33204300839379,-1.1380294872756
15,569,0,-1.335400558567,-1.1358604754129
16,569,0,-1.33875810874021,-1.13369146355019
17,569,0,-1.33931580400221,-1.133039027422
18,569,0,-1.33777104411112,-1.13352541190031
19,569,0,-1.33622628422002,-1.13401179637861
20,569,0,-1.33468152432893,-1.13449818085691
21,569,0,-1.33313676443784,-1.13498456533522
22,569,0,-1.33159200454674,-1.13547094981352
23,569,0,-1.33004724465565,-1.13595733429182
24,569,0,-1.32850248476455,-1.13644371877013
25,569,0,-1.32695772487346,-1.13693010324843
26,569,0,-1.32541296498237,-1.13741648772674
0,568,0,-1.2880178054883,-1.16366129597827
1,568,0,-1.29063304915651,-1.16205900236656
2,568,0,-1.29324829282472,-1.16045670875485
3,568,0,-1.29586353649292,-1.15885441514314
4,568,0,-1.29847878016113,-1.15725212153143
5,568,0,-1.30109402382933,-1.15564982791972
6,568,0,-1.30370926749754,-1.15404753430801
7,568,0,-1.30659219501294,-1.15219992476099
8,568,0,-1.30964413792672,-1.15019742289987
9,568,0,-1.31269608084051,-1.14819492103875
10,568,0,-1.3157480237543,-1.14619241917762
11,568,0,-1.31879996666809,-1.1441899173165
12,568,0,-1.32185190958188,-1.14218741545537
13,568,0,-1.32490385249567,-1.14018491359425
14,568,0,-1.32795579540946,-1.13818241173312
15,568,0,-1.33100773832324,-1.136179909872
16,568,0,-1.33405968123704,-1.13417740801087
17,568,0,-1.33465042095246,-1.1335012842674
18,568,0,-1.33339300442005,-1.13382115874412
19,568,0,-1.33213558788763,-1.13414103322084
20,568,0,-1.33087817135521,-1.13446090769756
21,568,0,-1.3296207548228,-1.13478078217429
22,568,0,-1.32836333829038,-1.13510065665101
23,568,0,-1.32710592175796,-1.13542053112773
24,568,0,-1.32584850522555,-1.13574040560445
25,568,0,-1.32459108869313,-1.13606028008117
26,568,0,-1.32333367216071,-1.1363801545579
0,567,0,-1.28660713060715,-1.16219208325162
1,567,0,-1.28916758213769,-1.16064529297377
2,567,0,-1.29172803366823,-1.15909850269592
3,567,0,-1.29428848519877,-1.15755171241808
4,567,0,-1.29684893672932,-1.15600492214023
5,567,0,-1.29940938825986,-1.15445813186238
6,567,0,-1.3019698397904,-1.15291134158453
7,567,0,-1.30464423284454,-1.15118727920744
8,567,0,-1.30739056849891,-1.1493512873479
9,567,0,-1.31013690415328,-1.14751529548836
10,567,0,-1.31288323980765,-1.14567930362881
11,567,0,-1.31562957546202,-1.14384331176927
12,567,0,-1.31837591111639,-1.14200731990973
13,567,0,-1.32112224677076,-1.14017132805019
14,567,0,-1.32386858242513,-1.13833533619064
15,567,0,-1.32661491807949,-1.1364993443311
16,567,0,-1.32936125373387,-1.13466335247156
17,567,0,-1.32998503790272,-1.13396354111279
18,567,0,-1.32901496472898,-1.13411690558793
19,567,0,-1.32804489155524,-1.13427027006307
20,567,0,-1.3270748183815,-1.13442363453821
21,567,0,-1.32610474520776,-1.13457699901335
22,567,0,-1.32513467203402,-1.1347303634885
23,567,0,-1.32416459886028,-1.13488372796364
24,567,0,-1.32319452568654,-1.13503709243878
25,567,0,-1.3222244525128,-1.13519045691392
26,567,0,-1.32125437933907,-1.13534382138906
0,566,0,-1.28519645572599,-1.16072287052498
1,566,0,-1.28770211511887,-1.15923158358099
2,566,0,-1.29020777451175,-1.157740296637
3,566,0,-1.29271343390463,-1.15624900969301
4,566,0,-1.29521909329751,-1.15475772274902
5,566,0,-1.29772475269038,-1.15326643580504
6,566,0,-1.30023041208326,-1.15177514886105
7,566,0,-1.30269627067615,-1.15017463365389
8,566,0,-1.3051369990711,-1.14850515179593
9,566,0,-1.30757772746605,-1.14683566993797
10,566,0,-1.310018455861,-1.14516618808001
11,566,0,-1.31245918425595,-1.14349670622205
12,566,0,-1.3148999126509,-1.14182722436409
13,566,0,-1.31734064104585,-1.14015774250612
14,566,0,-1.31978136944079,-1.13848826064816
15,566,0,-1.32222209783574,-1.1368187787902
16,566,0,-1.32466282623069,-1.13514929693224
17,566,0,-1.32531965485297,-1.13442579795818
18,566,0,-1.32463692503791,-1.13441265243174
19,566,0,-1.32395419522285,-1.1343995069053
20,566,0,-1.32327146540779,-1.13438636137886
21,566,0,-1.32258873559272,-1.13437321585242
22,566,0,-1.32190600577766,-1.13436007032598
23,566,0,-1.3212232759626,-1.13434692479954
24,566,0,-1.32054054614754,-1.1343337792731
25,566,0,-1.31985781633248,-1.13432063374666
26,566,0,-1.31917508651742,-1.13430748822022
0,565,0,-1.28378578084484,-1.15925365779833
1,565,0,-1.28623664810005,-1.1578178741882
